1	3	5
953	1010	1028
953	974	1010
974	1106	1010
1106	1028	1010
955	1158	979
979	931	955
972	1066	1000
972	1033	1066
1033	1153	1066
972	895	1033
988	1008	1058
1008	1101	1058
1101	1300	1058
1300	1107	1058
1101	1295	1300
1101	1275	1295
1002	1133	1139
1133	1247	1139
1133	1171	1247
1017	1050	1157
1050	1161	1157
1161	1243	1157
1157	1108	1017
1157	1234	1108
1021	1136	1029
1136	1177	1029
1049	1216	1059
1216	1088	1059
1216	1254	1088
1069	1075	1217
1069	1092	1075
1092	1105	1075
1217	1267	1069
1267	1245	1069
1245	1189	1069
1245	1319	1189
1245	1267	1319
1267	1499	1319
1217	1337	1267
1071	1199	1291
1199	1362	1291
1362	1436	1291
1090	1178	1131
1103	1195	1241
1195	1352	1241
1195	1307	1352
1307	1382	1352
1120	1152	1141
1144	1311	1197
1197	1106	1144
1311	1265	1197
1151	1223	1193
1223	1329	1193
1329	1178	1193
1151	1229	1223
1174	1183	1262
1174	1105	1183
1203	1310	1366
1310	1409	1366
1409	1553	1366
1553	1503	1366
1553	1671	1503
1671	1701	1503
1701	1457	1503
1701	1611	1457
1611	1446	1457
1701	1787	1611
1787	1786	1611
1786	1758	1611
1758	1740	1611
1786	1907	1758
1786	1817	1907
1786	1787	1817
1787	1888	1817
1214	1280	1298
1225	1452	1363
1452	1556	1363
1238	1336	1383
1259	1372	1261
1270	1316	1294
1270	1284	1316
1316	1395	1294
1395	1331	1294
1395	1315	1331
1316	1533	1395
1533	1540	1395
1540	1579	1395
1579	1552	1395
1552	1493	1395
1552	1587	1493
1552	1707	1587
1707	1724	1587
1724	1765	1587
1552	1579	1707
1540	1568	1579
1568	1712	1579
1568	1636	1712
1568	1533	1636
1568	1540	1533
1297	1388	1417
1388	1539	1417
1306	1481	1427
1306	1524	1481
1524	1650	1481
1650	1474	1481
1474	1427	1481
1650	1624	1474
1524	1672	1650
1672	1826	1650
1672	1880	1826
1880	1875	1826
1880	1899	1875
1880	1910	1899
1524	1589	1672
1589	1666	1672
1325	1371	1350
1371	1370	1350
1333	1358	1462
